player,games_played,avg_pts,avg_min,avg_reb,avg_ast,avg_fg_pct,avg_ft_pct,max_pts,avg_stl,avg_blk
D'Angelo Russell,24,11.0,19.9,2.4,4.1,0.398,0.457,31.0,0.5,0.1
Rudy Gobert,76,10.9,31.3,11.5,1.7,0.681,0.473,26.0,0.8,1.6
Daniss Jenkins,59,10.9,23.5,2.7,4.5,0.402,0.56,30.0,1.0,0.2
Kevin Huerter,62,10.9,24.1,3.8,2.8,0.446,0.362,23.0,1.0,0.5
Javon Small,35,10.9,22.9,3.5,4.1,0.444,0.57,23.0,1.0,0.3
Jusuf Nurkić,41,10.9,26.4,10.4,4.8,0.507,0.47,26.0,1.3,0.5
Tyson Etienne,16,10.9,21.9,1.7,2.4,0.424,0.521,23.0,0.7,0.0
Jakob Poeltl,45,10.9,25.4,7.1,2.1,0.696,0.364,23.0,0.9,0.7
Dennis Schröder,70,10.8,24.2,2.7,4.9,0.385,0.688,27.0,0.8,0.2
Precious Achiuwa,66,10.8,25.6,7.2,1.5,0.522,0.327,29.0,1.0,0.7
Jordan Miller,54,10.7,24.0,3.3,2.5,0.514,0.579,22.0,0.8,0.2
Bub Carrington,82,10.7,27.7,3.4,4.6,0.423,0.407,30.0,0.6,0.2
Simone Fontecchio,51,10.7,20.9,3.6,1.8,0.405,0.512,24.0,0.6,0.2
Marvin Bagley III,58,10.7,20.4,6.3,1.4,0.608,0.489,26.0,0.5,0.7
Jalen Smith,51,10.6,21.2,6.9,1.3,0.504,0.511,18.0,0.5,0.8
Jock Landale,67,10.6,22.4,5.8,1.7,0.511,0.402,26.0,0.5,0.5
Cam Whitmore,18,10.6,18.4,3.2,0.8,0.459,0.482,20.0,0.7,0.3
Tari Eason,60,10.5,25.8,6.3,1.5,0.415,0.4,26.0,1.2,0.5
Paul Reed,40,10.5,18.7,6.1,1.8,0.656,0.391,28.0,1.1,1.3
AJ Green,78,10.4,29.1,2.7,1.9,0.41,0.315,35.0,0.5,0.1
Sharife Cooper,31,10.4,21.1,2.7,3.6,0.499,0.543,21.0,0.5,0.2
Quenton Jackson,41,10.4,20.8,2.6,3.4,0.461,0.622,25.0,0.7,0.1
Neemias Queta,75,10.3,25.6,8.5,1.7,0.659,0.458,27.0,0.8,1.3
Egor Dëmin,52,10.3,25.2,3.2,3.3,0.394,0.391,26.0,0.8,0.3
Ziaire Williams,56,10.2,22.9,2.4,1.1,0.404,0.561,25.0,1.4,0.4
Khris Middleton,62,10.2,23.1,3.7,2.8,0.406,0.525,35.0,0.7,0.1
Isaiah Stewart,57,10.1,23.0,5.0,1.1,0.548,0.549,31.0,0.3,1.6
Bones Hyland,56,10.1,19.3,2.0,2.9,0.44,0.386,23.0,0.7,0.3
Derrick Jones Jr.,50,10.1,27.0,3.5,1.4,0.5,0.44,22.0,0.9,1.0
Aaron Wiggins,60,10.1,23.0,3.2,1.8,0.438,0.356,27.0,1.0,0.5
Tristan da Silva,76,10.0,24.9,3.7,1.6,0.42,0.372,26.0,0.9,0.3
Jay Huff,77,10.0,22.0,4.2,1.6,0.458,0.438,29.0,0.5,2.0
Ausar Thompson,71,10.0,26.5,5.9,3.2,0.543,0.418,21.0,2.0,1.0
Zaccharie Risacher,64,9.9,23.1,3.9,1.2,0.469,0.37,25.0,0.9,0.6
Harrison Barnes,77,9.9,25.8,2.8,1.9,0.445,0.516,31.0,0.6,0.2
Royce O'Neale,78,9.8,28.4,4.8,2.7,0.421,0.144,21.0,1.1,0.4
E.J. Liddell,12,9.8,22.8,4.3,1.9,0.439,0.417,26.0,0.4,0.8
Nolan Traore,50,9.8,24.0,1.9,4.1,0.384,0.478,23.0,0.8,0.4
Jonas Valančiūnas,53,9.8,15.0,5.7,1.4,0.607,0.453,23.0,0.2,0.7
Julian Strawther,39,9.8,19.6,2.7,1.4,0.446,0.43,25.0,0.6,0.1
Ousmane Dieng,42,9.7,24.5,4.0,3.0,0.397,0.262,36.0,0.5,0.3
Cody Williams,59,9.7,26.7,3.2,2.3,0.474,0.388,34.0,0.8,0.4
Zach Collins,10,9.7,18.4,5.6,1.5,0.544,0.633,16.0,0.2,0.4
Jordan Clarkson,63,9.6,19.5,1.8,1.4,0.454,0.426,27.0,0.4,0.1
Corey Kispert,54,9.6,19.5,2.4,1.7,0.444,0.496,33.0,0.3,0.2
Justin Champagnie,61,9.6,22.0,6.1,1.4,0.477,0.415,21.0,1.0,0.7
T.J. McConnell,55,9.5,17.4,2.2,5.2,0.54,0.255,23.0,1.0,0.2
Landry Shamet,50,9.5,23.4,1.8,1.4,0.427,0.328,36.0,0.6,0.2
Daniel Gafford,55,9.5,21.7,6.9,1.1,0.602,0.562,24.0,0.8,1.3
Jared McCain,57,9.5,19.2,2.4,1.5,0.407,0.287,26.0,0.6,0.1
Sam Hauser,76,9.5,25.3,3.9,1.5,0.401,0.132,30.0,0.5,0.3
Bogdan Bogdanović,18,9.4,23.7,3.1,2.7,0.382,0.343,21.0,0.6,0.2
Gary Trent Jr.,54,9.4,24.6,1.2,1.4,0.37,0.315,36.0,0.6,0.1
Danny Wolf,54,9.4,21.8,5.2,2.3,0.392,0.416,23.0,0.6,0.6
Buddy Hield,40,9.3,19.0,2.6,1.7,0.412,0.304,31.0,0.9,0.2
Davion Mitchell,70,9.3,28.6,2.7,6.5,0.488,0.204,21.0,1.0,0.2
Luka Garza,58,9.3,18.3,4.6,1.0,0.586,0.515,27.0,0.4,0.4
Svi Mykhailiuk,49,9.3,23.4,2.5,1.9,0.486,0.262,28.0,0.5,0.1
Marcus Smart,62,9.3,28.5,2.8,3.0,0.389,0.449,26.0,1.4,0.4
Isaac Okoro,63,9.3,26.9,2.7,1.6,0.44,0.507,24.0,0.7,0.5
Isaiah Hartenstein,47,9.2,24.2,9.4,3.5,0.572,0.444,33.0,1.0,0.8
Nique Clifford,70,9.2,26.3,4.0,2.5,0.38,0.362,30.0,1.0,0.3
Terrence Shannon Jr.,22,9.2,19.0,1.7,1.5,0.379,0.498,33.0,0.5,0.0
Taurean Prince,26,9.2,23.5,3.1,1.8,0.431,0.115,19.0,0.6,0.2
Josh Minott,38,9.2,20.5,4.0,1.1,0.484,0.453,24.0,1.0,0.6
Nikola Jović,36,9.2,21.0,4.0,2.6,0.362,0.509,29.0,0.7,0.4
Branden Carlson,20,9.1,19.2,5.2,1.1,0.522,0.25,26.0,0.4,1.2
Gary Payton II,60,9.1,17.8,4.2,2.0,0.595,0.207,19.0,1.1,0.3
Nick Smith Jr.,18,9.1,17.9,1.2,1.3,0.414,0.241,25.0,0.4,0.1
Rob Dillingham,41,9.0,19.8,2.6,2.8,0.409,0.345,26.0,0.8,0.1
Oscar Tshiebwe,22,9.0,18.6,7.6,1.3,0.609,0.347,29.0,0.7,0.2
Quinten Post,56,9.0,19.5,4.6,1.6,0.445,0.254,22.0,0.4,0.6
Anthony Gill,33,9.0,26.4,4.4,2.0,0.622,0.333,21.0,0.8,0.6
Jaden Ivey,35,9.0,18.7,2.5,1.9,0.467,0.383,16.0,0.7,0.4
Bryce McGowens,37,9.0,23.2,2.4,1.6,0.464,0.596,23.0,0.7,0.2
Jordan Goodwin,68,8.9,23.0,5.0,2.2,0.422,0.238,26.0,1.5,0.2
Vít Krejčí,61,8.9,22.5,2.4,1.6,0.428,0.255,28.0,0.8,0.3
Collin Murray-Boyles,54,8.9,22.7,5.2,1.9,0.58,0.443,20.0,1.0,1.0
Herbert Jones,55,8.9,28.7,3.4,2.8,0.378,0.382,18.0,1.6,0.5
Day'Ron Sharpe,61,8.8,18.9,6.7,2.4,0.589,0.533,19.0,1.1,0.4
Ron Harper Jr.,12,8.8,20.6,3.2,1.4,0.456,0.125,27.0,0.7,0.5
Pat Spencer,52,8.8,22.3,2.8,4.2,0.41,0.341,20.0,0.9,0.1
Kenrich Williams,39,8.7,19.4,4.2,1.8,0.49,0.363,25.0,0.7,0.1
Brook Lopez,72,8.7,22.4,3.8,1.3,0.399,0.328,31.0,0.6,1.2
Cason Wallace,77,8.6,26.6,3.1,2.6,0.415,0.323,27.0,1.9,0.4
Luke Kennard,76,8.6,21.9,2.4,2.3,0.521,0.397,22.0,0.7,0.1
Kobe Brown,36,8.6,23.3,4.7,1.8,0.488,0.402,20.0,0.6,0.3
Draymond Green,66,8.5,28.0,5.6,5.7,0.408,0.391,21.0,0.9,0.6
Malaki Branham,11,8.5,17.5,2.5,1.2,0.499,0.636,17.0,0.6,0.2
Jamir Watkins,42,8.5,23.9,4.5,1.6,0.463,0.413,24.0,1.2,0.6
Kentavious Caldwell-Pope,50,8.5,21.6,2.5,2.8,0.421,0.461,20.0,0.8,0.2
Jamal Cain,22,8.5,18.5,3.2,1.0,0.512,0.557,20.0,0.5,0.2
Justin Edwards,42,8.4,20.7,2.1,1.8,0.436,0.333,32.0,1.1,0.2
AJ Johnson,17,8.4,18.5,2.2,2.1,0.397,0.415,20.0,0.6,0.1
Al Horford,44,8.4,21.9,5.0,2.6,0.428,0.209,22.0,0.7,1.2
Walter Clayton Jr.,63,8.4,21.6,2.1,4.3,0.382,0.605,20.0,0.7,0.3
Keshad Johnson,11,8.4,19.2,3.8,0.6,0.552,0.409,15.0,1.1,0.5
Ronald Holland II,76,8.4,20.2,4.1,1.2,0.441,0.503,19.0,1.2,0.4
Taylor Hendricks,52,8.3,20.9,4.1,1.0,0.484,0.331,21.0,0.9,0.6
Jake LaRavia,81,8.3,25.3,4.0,1.8,0.475,0.45,27.0,1.3,0.5
Tyrese Proctor,27,8.3,15.7,1.9,2.2,0.414,0.463,22.0,0.8,0.0
Luguentz Dort,69,8.3,26.8,3.6,1.2,0.388,0.264,19.0,0.9,0.4
Asa Newell,22,8.2,17.7,3.6,0.8,0.53,0.242,17.0,0.5,0.5
Marcus Sasser,20,8.1,18.0,1.7,2.8,0.359,0.275,19.0,0.9,0.1
Moritz Wagner,26,8.1,14.2,3.9,0.8,0.42,0.664,14.0,0.5,0.0
